Sample.DateTime	Year	Month	Day	Hour	Minute	People	Notes.Dissolved.Oxygen	Source.Dissolved.Oxygen	Dissolved.Oxygen.Sensor.Issue	0m	0.1m	0.5m	0.5	1m	1.5m	2m	2.5m	3m	3.5m	4m	4.5m	5m	5.5m	6m	6.5m	7m	7.5m	8m	8.5m	9m	9.5m	10m	10.5m	11m	11.5m	12m	12.5m	13m	13.5m	14m	14.5m	15m	15.5m	16m	16.5m	17m	17.5m	18m	18.5m	19m	19.5m	20m	20.5m	21m	21.5m	22m	22.5m	23m	23.5m	24m	24.5m	25m	Bottom.Epi.m	Top.Hypo.m	DO.Span.mg.L	DO.Diff.mg.L	s.DO.Diff.mg.L	Epi.Length.m	Epi.Span.mg.L	Epi.Mean.DO.mg.L	Epi.sd.DO.mg.L	Epi.Slope.m.mg.L	Epi.Intercept.m	Epi.R2.adj	Meta.Length.m	Meta.Span.mg.L	Meta.Mean.DO.mg.L	Meta.sd.DO.mg.L	Meta.Slope.m.mg.L	Meta.Intercept.m	Meta.R2.adj	Hypo.Length.m	Hypo.Span.mg.L	Hypo.Mean.DO.mg.L	Hypo.sd.DO.mg.L	Hypo.Slope.m.mg.L	Hypo.Intercept.m	Hypo.R2.adj	Bottom.Mixed.m	Is.Mixed	Bottom.Oxic	Top.Anoxic	Is.Lake.Anoxic	Sample.DO.Status
2011-07-22 12:00:00	2011	7	22	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	12.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-07-23 12:00:00	2011	7	23	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	11.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-07-24 12:00:00	2011	7	24	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	10.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-07-25 00:00:00	2011	7	25	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	10.4	NA	NA	NA	10.2	NA	10.2	NA	9.9	NA	9.8	NA	9.9	NA	9.6	9.4	9	1.5	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	0.1	NA	7.25	7.75	10.3	9.72222222222222	0.438114647603164	7.25	1.4	9.82222222222222	0.438114647603164	6.12244897959184	-63.9693877551021	0.849906967128385	0.5	NA	NA	NA	NA	NA	NA	17.25	0	0.1	0	318234481310362624	-31823448131036300	0.461243132208572	6.75	0	7.25	7.75	TRUE	anoxic
2011-07-25 12:00:00	2011	7	25	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	10.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-07-26 00:00:00	2011	7	26	0	0	Beversdorf	NA	MEMO: 2006-2012 McMahon Lab manual profiles, Robin Rohwer QCed	FALSE	8.79	NA	NA	NA	8.74	NA	8.6	NA	8.55	NA	8.58	NA	8.48	NA	8.26	NA	0.81	NA	0.28	NA	0.39	NA	0.41	NA	0.41	NA	0.35	NA	0.355	NA	0.36	NA	0.37	NA	0.38	NA	0.395	NA	0.41	NA	0.435	NA	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5	11.5	8.51	8.18087301587301	0.178682624109705	6.5	0.529999999999999	8.57142857142857	0.174587950274217	13.1455399061034	-115.676056338029	0.863169817216058	5	0.53	0.46	0.202977831301844	14.9253731343284	-15.865671641791	0.029854368932039	13.5	0.11	0.390555555555556	0.0380332456908134	-74.5341614906832	13.1097308488613	0.923777518688705	6.5	0	6.5	6.5	TRUE	anoxic
2011-07-26 12:00:00	2011	7	26	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	10.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-07-27 12:00:00	2011	7	27	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	6.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-07-28 12:00:00	2011	7	28	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	6.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-07-29 12:00:00	2011	7	29	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	7.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-07-30 00:00:00	2011	7	30	0	0	Beversdorf	NA	MEMO: 2006-2012 McMahon Lab manual profiles, Robin Rohwer QCed	FALSE	7.37	NA	NA	NA	7.31	NA	7.54	NA	7.57	NA	7.34	NA	7.01	NA	6.59	NA	5.11	NA	0.34	NA	0.21	NA	0.22	NA	0.23	NA	0.25	NA	0.255	NA	0.26	NA	0.27	NA	0.28	NA	0.285	NA	0.29	NA	0.305	NA	0.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.5	11.5	7.36	6.70055555555556	0.819932549006706	7.5	2.46	6.98	0.819599205186814	3.95480225988701	-31.1045197740113	0.499595933818212	4	0.13	0.25	0.0605530070819498	31.25	-17.3125	0.198181818181818	13.5	0.07	0.279444444444444	0.0233779335651759	-118.811881188119	17.2013201320132	0.968161190778726	6.5	0	7.5	7.5	TRUE	anoxic
2011-07-30 12:00:00	2011	7	30	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	8.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-07-31 12:00:00	2011	7	31	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	8.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-08-01 12:00:00	2011	8	1	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	8.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-08-02 00:00:00	2011	8	2	0	0	Beversdorf	NA	MEMO: 2006-2012 McMahon Lab manual profiles, Robin Rohwer QCed	FALSE	7.53	NA	NA	NA	7.41	NA	7.46	NA	7.4	NA	7.36	NA	7.04	NA	4.25	NA	0.7	NA	0.27	NA	0.28	NA	0.3	NA	0.29	NA	0.28	NA	0.285	NA	0.29	NA	0.285	NA	0.28	NA	0.28	NA	0.28	NA	0.29	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5	13.5	7.26	6.635	1.18823548652133	6.5	3.28	6.92142857142857	1.18821194197316	2.62172284644195	-21.1460674157304	0.377067537303364	7	0.43	0.343571428571429	0.157446135914114	23.0452674897119	-17.917695473251	0.225363780435097	11.5	0.02	0.286428571428571	0.00748013241543094	-699.999999999996	183.499999999999	0.00425531914893806	5.5	0	5.5	6.5	TRUE	anoxic
2011-08-02 12:00:00	2011	8	2	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	8.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-08-03 12:00:00	2011	8	3	12	0	David Buoy	D-Opto sensor	NTL-LTER: 2006-2019 Mendota Buoy .5m sampling, dt2 in EDI package ID knb-lter-ntl.129.31	FALSE	NA	NA	NA	9.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA
2011-08-04 00:00:00	2011	8	4	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	8.4	NA	NA	NA	8.4	NA	8.4	NA	8.3	NA	8.1	7.8	7.5	5.2	2.8	0.5	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	0.1	NA	5.75	7.5	8.3	7.6625	1.08619585184783	5.75	3.2	7.7625	1.08619585184783	2.64173703256936	-23.6314837153197	0.387457931132033	1.75	2.7	1.13333333333333	1.45716619962629	0.37037037037037	-6.91975308641975	0.716640502354785	17.5	0	0.1	0	318234481310362624	-31823448131036300	0.461243132208572	5.25	0	5.75	6.25	TRUE	anoxic
