Head	01	02	03	04	05	06	07	08	09	10	11	12
o__Flavobacteriales;f__Flavobacteriaceae	2470.34479923009	578.226098809334	456.558829418032	8099.47209621054	10045.266168714	11017.5869899179	9891.41591923465	2260.24316948326	2836.53230815208	9454.01448902851	19021.256283874	0
o__Flavobacteriales;f__GCA-002722245	0	0	0	0	74.1561045369843	206.11004265391	332.135347356117	420.417584317828	181.047466968384	296.4414835866	123.883291336788	0
o__Flavobacteriales;f__GCA-2400975	0	0	0	0	0	0	154.924794254015	0	0	0	0	0
o__Flavobacteriales;f__GCA-2746335	0	0	0	0	0	0	81.5661341176319	0	0	122.939950752765	0	0
o__Flavobacteriales;f__PHOS-HE28	0	0	0	0	289.108004958463	175.375055313562	2240.68297022835	2810.28441593837	2957.15007730474	1290.14560593526	1027.78950098057	2826.23891398553
o__Flavobacteriales;f__Schleiferiaceae	0	0	0	0	1052.29776233796	1487.31734445719	528.240196891459	119.173281117596	205.335807900551	617.569397912308	1090.92244458257	1096.71252211213
o__Flavobacteriales;f__UA16	0	660.527953263865	2614.53500180571	1182.83054869088	14406.1407744867	4096.25391196179	2041.94333688316	1138.21024062538	5910.19816875599	6725.52522599503	22236.8666728207	0
o__Flavobacteriales;f__UBA10329	0	0	0	0	0	0	0	0	535.210890858092	697.518437479797	5093.68091651995	0
o__Flavobacteriales;f__UBA2798	0	0	0	0	0	0	0	216.526192760052	95.6161853660982	0	96.8854466714736	0
o__Flavobacteriales;f__Weeksellaceae	0	0	0	0	0	0	0	0	0	129.609410739019	0	0
o__Francisellales;f__	0	0	0	0	0	0	0	518.029670039223	0	485.891660385389	0	0
o__Francisellales;f__Francisellaceae	0	0	0	0	0	0	0	0	555.551880917762	0	0	0
o__GCA-2729495;f__GCA-2729495	0	0	0	0	0	0	104.356157061116	191.006978904029	0	0	0	0
o__Ga0077536;f__Ga0077536	0	0	0	0	0	51.0767055673159	0	0	0	73.7738010609099	110.967645257035	0
o__Ga0077560;f__Ga0077560	0	1396.29792780692	520.259786351996	0	68.9592216053221	128.156234112877	0	29.2563607552701	0	148.316708065721	577.210018621013	1996.7801018053
o__Gaiellales;f__F1-60-MAGs149	1517.79203288356	0	272.366283518452	616.913999225569	1031.61481582303	264.959915763519	639.459290792352	347.060646969915	745.300965595175	1299.30842624557	728.845278825902	0
o__Gaiellales;f__SKUG01	0	0	0	0	0	0	0	39.2695048836598	0	0	0	0
o__Gemmatales;f__	0	0	0	325.171200640364	0	0	978.181713167832	0	410.363875036869	199.431700590693	0	0
o__Gemmatales;f__Gemmataceae	7494.68128500914	1397.27473969021	316.455192095129	569.627559944141	420.316003509903	565.32955691431	2190.46572654398	1099.62637862292	6121.34722680378	1487.01867344357	5527.30162950537	3172.41154339268
o__Gemmatimonadales;f__Gemmatimonadaceae	0	1469.11781343618	2649.49878678328	1682.08996629181	781.496278728436	1507.08395377039	1518.07813293612	3650.93816616464	1278.59858472439	480.921802917923	286.164578901781	0
o__Holosporales;f__	0	0	0	5379.37897389304	1265.72906811759	47.8581649887649	860.378877686379	680.576565677699	440.742600031129	1005.74152672209	1839.8374971767	0
o__Hydrogenedentiales;f__	0	0	0	0	0	0	0	87.6530264965933	1254.7594179291	179.06586550073	0	0
o__IMCC26256;f__	0	0	0	0	0	0	0	40.9280699614093	99.0683012453084	0	0	0
o__IMCC26256;f__IMCC26256	0	0	0	0	0	0	0	0	723.230520301116	115.703429197848	0	0
o__IMCC26256;f__PALSA-555	0	0	0	0	0	0	0	509.698258356496	1480.82813933582	0	0	0
o__Isosphaerales;f__	0	0	0	0	0	0	0	0	0	73.563796088015	0	0
o__Isosphaerales;f__Isosphaeraceae	0	0	0	0	0	0	0	0	72.7261941206509	81.3068907404922	195.239572121124	0
o__J057;f__	0	0	0	0	0	53.7571645786162	102.401891153887	148.972319046406	0	0	0	0
o__Kapabacteriales;f__	0	0	0	0	0	0	35.8414707245951	82.2939961411429	236.680207925001	86.7354896154878	0	0
o__Kapabacteriales;f__GCA-002839825	0	0	0	0	0	0	0	0	0	0	164.153825510147	0
o__Kapabacteriales;f__Kapabacteriaceae	0	0	0	0	0	118.351670897745	2147.12675959895	4295.80439510853	4048.66422852155	741.202070180061	0	0
o__Kapabacteriales;f__NICIL-2	0	0	0	0	0	0	70.7681995433682	119.963412463799	0	0	0	0
o__Kapabacteriales;f__UBA4661	0	0	0	0	0	0	50.7887094751317	0	0	0	0	0
o__Kapabacteriales;f__UBA961	0	333.121450754881	0	0	869.499419775351	1816.6879082758	355.633204309926	729.284183819599	700.845903191642	858.249928142268	705.056830361736	3639.89499327118
o__Kiritimatiellales;f__Pontiellaceae	0	0	0	0	0	0	229.091607324507	0	0	0	0	0
o__Kiritimatiellales;f__UBA1859	0	0	0	0	0	0	54.8295355639837	0	0	0	0	0
o__LZORAL124-64-63;f__LZORAL124-64-63	0	0	0	0	0	0	0	43.122184178659	0	0	0	0
o__Legionellales;f__Legionellaceae	0	0	0	0	0	0	0	0	94.5566718003481	207.097997558401	0	0
o__MC1;f__	0	0	0	0	563.717938257929	71.3363125535876	0	163.554225241533	0	0	0	0
o__Magasanikbacterales;f__2-02-FULL-50-9b	0	0	0	0	0	0	0	97.5936563392632	0	0	0	0
o__Magnetococcales;f__	0	0	0	0	0	0	0	41.1852514817859	0	0	0	0
o__Methylacidiphilales;f__UBA3015	0	0	0	0	332.732678037615	177.114032216397	4077.52818813737	2537.04838377732	14568.0187908529	2919.21639878791	0	0
o__Methylococcales;f__Methylococcaceae	0	0	0	0	0	0	0	35.887388828813	979.436639311548	1970.15875641815	1349.78982506636	0
o__Methylococcales;f__Methylomonadaceae	0	0	0	0	0	0	44.0221391750213	0	0	644.814711945091	2341.38452493965	2016.83675253512
o__Micavibrionales;f__Micavibrionaceae	0	0	0	0	0	0	666.59093038414	0	0	0	0	0
o__Microtrichales;f__	0	0	0	1191.13966791159	496.703659685502	189.603674162407	638.593132622988	635.30288721539	719.098837951446	293.410191677872	0	0
o__Microtrichales;f__Ilumatobacteraceae	0	0	0	0	256.110557102283	71.2277143455374	584.607954181361	945.813016370703	2912.60939403184	557.123003949633	0	0
o__Microtrichales;f__Microtrichaceae	0	0	0	0	443.569109485885	0	101.59822655168	0	0	0	0	0
o__Microtrichales;f__UBA8139	0	0	0	412.399420363453	264.380358819518	0	74.6308970191667	0	0	79.4677877759913	107.948850317338	0
