Head	Spring	Clearwater	Early Summer	Late Summer	Fall	Ice-on
o__Bacteroidales;f__Muribaculaceae	204.9293015	473.3262102	181.6487436	22.31360071	933.9551667	101.6033027
o__Bacteroidales;f__P3	231.3812548	559.2118229	210.7552391	55.58501613	4900.099669	270.8696555
o__Bacteroidales;f__Paludibacteraceae	756.9576994	1100.826265	420.1868646	135.0276075	2500.129668	245.0376177
o__Bacteroidales;f__Porphyromonadaceae	123.562577	0	3.623642168	0	268.5064193	0
o__Bacteroidales;f__Prolixibacteraceae	12.43332644	28.6014194	36.21403411	0	179.7004389	10.66588605
o__Bacteroidales;f__Rikenellaceae	111.5744939	5.038272167	28.45275122	9.124059855	499.2492744	0
o__Bacteroidales;f__Salinivirgaceae	0	0	0	0	0	8.665644117
o__Bacteroidales;f__SM23-62	15.8726241	0	0	0	0	0
o__Bacteroidales;f__SZUA-534	0	10.58447136	0	0	0	0
o__Bacteroidales;f__Tannerellaceae	25.82840414	7.271934558	0	15.79114179	60.60775568	0
o__Bacteroidales;f__TTA-H9	0	0	0	0	26.38013614	0
o__Bacteroidales;f__UBA12077	0	74.30586753	19.25488672	0	79.05651483	0
o__Bacteroidales;f__UBA12481	0	0	0	0	7.368635708	0
o__Bacteroidales;f__UBA1402	0	0	0	0	4.50624509	0
o__Bacteroidales;f__UBA1556	22.96579868	47.68145364	16.21107953	5.736505953	131.1513541	11.58178385
o__Bacteroidales;f__UBA1715	5.446420304	0	179.8160044	0	15.67249176	0
o__Bacteroidales;f__UBA3663	37.7631538	0	0	5.67137106	32.25326879	0
o__Bacteroidales;f__UBA4417	0	0	0	0	20.12328955	0
o__Bacteroidales;f__UBA7332	0	0	0	0	5.37542901	0
o__Bacteroidales;f__UBA7960	0	9.999393026	9.066757287	0	235.8273046	0
o__Bacteroidales;f__UBA932	114.3812202	94.73758316	76.05229126	77.20280285	800.8855618	0
o__Bacteroidales;f__VadinHA17	58.8471989	18.31740634	0	0	24.73050887	0
o__Bacteroidales;f__WCHB1-69	167.5388147	220.239021	78.68443803	301.6315288	895.1380328	454.6891955
o__Bacteroidales;f__Williamwhitmaniaceae	9.390302597	0	0	0	4.05345606	0
o__Balneolales;f__HLUCCA01	51.59061892	24.07324021	0	0	13.99043804	0
o__BD1-5;f__UBA6164	0	0	0	0	4.264962727	0
o__Bdellovibrionales;f__Bdellovibrionaceae	0	0	280.0549885	0	237.0910008	0
o__Bdellovibrionales;f__SG-bin7	0	0	0	0	27.36313132	0
o__Beggiatoales;f__Beggiatoaceae	7.832336417	0	17.09051351	36.38391662	37.25072754	0
o__Berkiellales;f__Berkiellaceae	19.87483115	15.71621197	0	0	15.09993686	0
o__Bin125;f__Bin125	8.699628245	18.79217239	4.885847023	0	270.4571087	33.53287133
o__Bin18;f__Bin18	0	0	0	0	4.734762553	0
o__BM507;f__UBA12465	11.15665812	0	0	5.679428733	0	17.01421275
o__Borreliales;f__Borreliaceae	0	8.291686748	15.20488588	0	2.962985601	0
o__Bradymonadales;f__Bradymonadaceae	0	0	0	0	10.59363856	0
o__Bradymonadales;f__GCA-2716585	0	0	0	0	8.594562928	0
o__Brevibacillales;f__Brevibacillaceae	184.4534725	221.5733226	127.4811807	14.79432948	177.7019249	87.62473877
o__Bryobacterales;f__Bryobacteraceae	30.44131988	259.4752216	63.25353541	0	1534.763603	0
o__Burkholderiales;f__Burkholderiaceae	25012.25397	45648.53024	16569.66551	7814.896115	120811.558	8661.569258
o__Burkholderiales;f__Burkholderiaceae_A	0	19.11838577	0	6.883497589	43.49678281	0
