Head	1	2	3	4	5	6	7	8	9	10	11	12
o__Nanopelagicales;f__Nanopelagicaceae	38.34560853	117.9510436	60.28762055	94.57573538	382.2373797	460.8616791	528.4140967	466.7680641	298.2541694	413.6247098	180.3659686	47.26314902
o__Nanopelagicales;f__S36-B12	5.821708946	20.73141462	34.60892195	159.2803241	145.466158	206.5771966	426.910671	262.7474736	92.33279887	44.31882752	41.42718462	6.466184739
o__Nanopelagicales;f__UBA12327	0	7.164528537	13.76057077	61.23366168	20.02777758	15.31410835	0	0	4.043066278	104.1400753	79.93535481	20.32288309
o__Nevskiales;f__Nevskiaceae	0	0	0	0	212.3144485	0	0	0	0	0	0	0
o__Obscuribacterales;f__	10.70716214	0	0	0	0	8.810317999	18.43344547	0	0	24.16823787	42.04372552	0
o__Obscuribacterales;f__Obscuribacteraceae	6.693379891	0	0	0	6.901138622	81.12127055	29.96886275	233.0591849	218.7959988	15.70249721	23.92241139	0
o__Oligoflexales;f__	0	0	0	0	30.1907498	47.07428817	35.41233938	80.15271678	0	0	0	0
o__Oligoflexales;f__Bog-1112	0	0	0	0	0	0	0	0	18.99357309	0	0	0
o__Opitutales;f__Opitutaceae	79.42116415	122.0507213	110.6359842	236.2515821	620.9048968	1408.534823	3046.786073	7463.590881	3998.483253	1714.471694	744.5034453	6.325917763
o__Opitutales;f__UBA953	7.134012031	190.5286167	135.9986822	892.3094601	1258.385653	2116.396338	405.2249011	83.52889999	105.6124684	375.26652	812.6761395	27.75769375
o__PCC-6307;f__	56.4070176	93.62190453	0	18.44599761	68.06816334	604.1122069	2610.308199	4859.652324	1643.917428	362.5236073	134.4376626	0
o__PCC-6307;f__Cyanobiaceae	41.1984862	167.0702768	12.73014223	13.5945986	1368.420845	17482.16073	26077.57206	43815.08017	32890.12502	9090.037473	803.7936616	124.8656593
o__Paracaedibacterales;f__UBA11393	0	105.0576894	28.05408125	131.2494119	158.9067912	219.5398647	194.7391503	186.5238017	115.9578808	473.0251952	360.5132998	0
o__Parachlamydiales;f__Parachlamydiaceae	8.231776599	0	54.17867732	35.13155139	40.04815496	0	0	0	0	0	7.831032501	0
o__Pedosphaerales;f__	0	0	0	0	37.83087904	28.26159026	116.6363431	174.8251522	23.92690588	84.71065009	15.00841803	0
o__Pedosphaerales;f__SXTU01	0	0	0	0	0	0	0	0	5.583390549	0	0	0
o__Pedosphaerales;f__UBA11320	0	0	0	0	0	0	0	5.936468713	0	12.38268739	0	0
o__Pedosphaerales;f__UBA9464	0	87.09808305	0	18.86211983	95.85154414	140.8990037	594.0554149	1126.841921	585.7006253	120.2340038	29.62580077	0
o__Pelagibacterales;f__Pelagibacteraceae	17.42221464	13.18803481	0	0	0	2.928371168	0	51.75848829	13.51058292	22.84493005	30.97949773	8.052564073
o__Phormidesmiales;f__Phormidesmiaceae	9.663651134	0	0	0	5.802655551	0	133.23041	3616.802753	2220.224164	97.34719425	5.169057983	0
o__Phycisphaerales;f__SM1A02	0	339.4392896	560.1291327	2338.589412	1001.649722	96.82317489	1013.72499	1731.916563	896.5263374	988.4422811	471.3726441	4.885167039
o__Pirellulales;f__	0	0	0	0	0	6.469156388	20.01481922	28.72684993	32.07327682	39.72430953	11.31099789	0
o__Pirellulales;f__Pirellulaceae	70.72182985	76.44991741	3.894523886	38.04461313	119.0279043	4827.718049	9009.607289	10455.72431	10027.81716	2603.508414	406.972665	25.0689986
o__Pirellulales;f__UBA1268	67.14804039	106.3653978	35.49495014	69.81929344	481.4716263	780.3032673	3222.468742	10405.5827	7184.586612	2199.609676	522.0068067	40.95332013
o__Planctomycetales;f__	0	0	0	0	0	0	5.32058812	149.2298475	118.7936582	6.264236481	0	0
o__Planctomycetales;f__Planctomycetaceae	0	8.483793951	25.92478851	494.0367851	209.0753389	192.488444	255.7971042	1109.203349	955.5462663	294.7355028	628.1233586	0
o__Planctomycetales;f__UBA10511	0	0	0	0	0	0	577.5493557	470.9257159	88.42730953	48.66314054	0	0
o__Polyangiales;f__	0	0	0	0	0	3.755702417	8.25425092	96.78747122	21.26621857	8.207902003	0	0
o__Polyangiales;f__Ga0077539	30.89015403	10.20447905	0	0	26.09507356	29.53696221	510.2721595	1236.395064	631.5667656	440.2497208	165.6720171	0
