2008/10/29	2008-10-29	373010
2009/1/21	2009-01-21	80403
2009/4/15	2009-04-15	320431
2009/4/27	2009-04-27	593000
2009/5/11	2009-05-11	1051602
2009/5/28	2009-05-28	373720
2009/6/09	2009-06-09	373484
2009/6/23	2009-06-23	459780
2009/7/06	2009-07-06	370181
2009/7/20	2009-07-20	222694
2009/8/05	2009-08-05	350561
2009/8/19	2009-08-19	952257
2009/9/02	2009-09-02	254958
2009/9/30	2009-09-30	433311
2009/10/28	2009-10-28	175482
2009/12/03	2009-12-03	328111
2010/2/01	2010-02-01	139113
2010/3/29	2010-03-29	295910
2010/4/05	2010-04-05	106339
2010/4/26	2010-04-26	537119
2010/5/10	2010-05-10	544193
2010/5/24	2010-05-24	203248
2010/6/07	2010-06-07	188406
2010/6/21	2010-06-21	132054
2010/7/05	2010-07-05	24999
2010/7/19	2010-07-19	65424
2010/8/03	2010-08-03	53759
2010/8/16	2010-08-16	27129
2010/8/30	2010-08-30	75729
2010/10/05	2010-10-05	102685
2010/11/09	2010-11-09	45290
2011/1/19	2011-01-19	327977
2011/4/18	2011-04-18	1220187
2011/5/02	2011-05-02	1365668
2011/5/17	2011-05-17	3384931
2011/5/31	2011-05-31	1884865
2011/6/13	2011-06-13	1458095
2011/6/27	2011-06-27	298269
2011/7/15	2011-07-15	153872
2011/7/25	2011-07-25	965790
2011/8/04	2011-08-04	618107
2011/8/22	2011-08-22	1202532
2011/9/12	2011-09-12	829156
2011/10/03	2011-10-03	337823
2011/10/31	2011-10-31	739390
2012/2/22	2012-02-22	387630
2012/3/21	2012-03-21	757813
2012/4/03	2012-04-03	1960317
2012/4/17	2012-04-17	1683034
2012/5/01	2012-05-01	961060
2012/5/14	2012-05-14	612100
2012/5/29	2012-05-29	1722646
2012/6/11	2012-06-11	1114320
2012/6/25	2012-06-25	1069051
2012/7/10	2012-07-10	920505
2012/7/23	2012-07-23	1431772
2012/8/06	2012-08-06	581075
2012/8/20	2012-08-20	452056
2012/9/04	2012-09-04	94591
2012/10/01	2012-10-01	903084
2012/10/29	2012-10-29	510188
2012/11/29	2012-11-29	638762
2013/2/12	2013-02-12	534525
2013/4/29	2013-04-29	1012462
2013/5/14	2013-05-14	1019299
2013/5/28	2013-05-28	1670773
2013/6/10	2013-06-10	873820
2013/6/24	2013-06-24	1184168
2013/7/08	2013-07-08	142688
2013/7/22	2013-07-22	495427
2013/8/05	2013-08-05	684555
2013/8/21	2013-08-21	254210
2013/9/04	2013-09-04	667564
2013/9/30	2013-09-30	134176
2013/10/29	2013-10-29	651102
2013/12/02	2013-12-02	729981
2014/2/03	2014-02-03	854957
2014/4/29	2014-04-29	973322
2014/5/14	2014-05-14	1414001
2014/5/28	2014-05-28	4813788
2014/6/09	2014-06-09	2086227
2014/6/23	2014-06-23	849770
2014/7/07	2014-07-07	761393
2014/7/21	2014-07-21	199130
2014/8/04	2014-08-04	233470
2014/8/20	2014-08-20	137104
2014/9/02	2014-09-02	149265
2014/9/28	2014-09-28	62290
2014/10/30	2014-10-30	1069475
2015/2/11	2015-02-11	1631632
2015/4/10	2015-04-10	1375571
2015/4/24	2015-04-24	1867418
2015/5/01	2015-05-01	1567499
2015/5/13	2015-05-13	3490091
2015/5/27	2015-05-27	7526260
2015/6/08	2015-06-08	4066821
2015/6/23	2015-06-23	1301548
2015/7/08	2015-07-08	293124
2015/7/20	2015-07-20	1302817
2015/8/03	2015-08-03	1100952
2015/8/18	2015-08-18	380157
2015/8/31	2015-08-31	412417
2015/10/07	2015-10-07	489275
2015/11/02	2015-11-02	1047295
2016/1/27	2016-01-27	672224
2016/3/28	2016-03-28	1094750
2016/4/12	2016-04-12	2745482
2016/4/25	2016-04-25	2256464
2016/5/11	2016-05-11	2520071
2016/5/23	2016-05-23	1078952
2016/6/07	2016-06-07	1380287
2016/6/20	2016-06-20	1238343
2016/7/05	2016-07-05	479821
2016/7/18	2016-07-18	516134
2016/8/01	2016-08-01	960423
2016/8/15	2016-08-15	308421
2016/8/30	2016-08-30	923197
2016/10/04	2016-10-04	441432
2016/11/09	2016-11-09	606043
2017/2/06	2017-02-06	368768
2017/4/17	2017-04-17	3229784
2017/5/03	2017-05-03	3758886
2017/5/15	2017-05-15	2945664
2017/5/30	2017-05-30	1245418
2017/6/12	2017-06-12	3094917
2017/6/26	2017-06-26	684952
2017/7/10	2017-07-10	563017
2017/7/24	2017-07-24	655373
2017/8/07	2017-08-07	373526
2017/8/23	2017-08-23	242928
2017/9/06	2017-09-06	216687
2017/10/04	2017-10-04	362000
2017/11/02	2017-11-02	136440
2017/12/19	2017-12-19	633790
2018/1/23	2018-01-23	255119
2018/4/20	2018-04-20	1045472
2018/5/07	2018-05-07	1295875
2018/5/14	2018-05-14	513776
2018/5/29	2018-05-29	990769
2018/6/11	2018-06-11	493732
2018/6/25	2018-06-25	551343
2018/7/09	2018-07-09	352891
2018/7/23	2018-07-23	366411
2018/8/06	2018-08-06	66727
2018/8/22	2018-08-22	100916
2018/9/04	2018-09-04	91953
2018/9/19	2018-09-19	77863
2018/10/02	2018-10-02	33009
2018/10/18	2018-10-18	76148
2018/10/29	2018-10-29	88240
2018/11/14	2018-11-14	129436
